"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","TOT","MEANSCORE","A","2018",491,
"AUT","PISAMATH","TOT","MEANSCORE","A","2018",499,
"BEL","PISAMATH","TOT","MEANSCORE","A","2018",508,
"CAN","PISAMATH","TOT","MEANSCORE","A","2018",512,
"CZE","PISAMATH","TOT","MEANSCORE","A","2018",499,
"DNK","PISAMATH","TOT","MEANSCORE","A","2018",509,
"FIN","PISAMATH","TOT","MEANSCORE","A","2018",507,
"FRA","PISAMATH","TOT","MEANSCORE","A","2018",495,
"DEU","PISAMATH","TOT","MEANSCORE","A","2018",500,
"GRC","PISAMATH","TOT","MEANSCORE","A","2018",451,
"HUN","PISAMATH","TOT","MEANSCORE","A","2018",481,
"ISL","PISAMATH","TOT","MEANSCORE","A","2018",495,
"IRL","PISAMATH","TOT","MEANSCORE","A","2018",500,
"ITA","PISAMATH","TOT","MEANSCORE","A","2018",487,
"JPN","PISAMATH","TOT","MEANSCORE","A","2018",527,
"KOR","PISAMATH","TOT","MEANSCORE","A","2018",526,
"LUX","PISAMATH","TOT","MEANSCORE","A","2018",483,
"MEX","PISAMATH","TOT","MEANSCORE","A","2018",409,
"NLD","PISAMATH","TOT","MEANSCORE","A","2018",519,
"NZL","PISAMATH","TOT","MEANSCORE","A","2018",494,
"NOR","PISAMATH","TOT","MEANSCORE","A","2018",501,
"POL","PISAMATH","TOT","MEANSCORE","A","2018",516,
"PRT","PISAMATH","TOT","MEANSCORE","A","2018",492,
"SVK","PISAMATH","TOT","MEANSCORE","A","2018",486,
"ESP","PISAMATH","TOT","MEANSCORE","A","2018",481,
"SWE","PISAMATH","TOT","MEANSCORE","A","2018",502,
"CHE","PISAMATH","TOT","MEANSCORE","A","2018",515,
"TUR","PISAMATH","TOT","MEANSCORE","A","2018",454,
"GBR","PISAMATH","TOT","MEANSCORE","A","2018",502,
"USA","PISAMATH","TOT","MEANSCORE","A","2018",478,
"CHL","PISAMATH","TOT","MEANSCORE","A","2018",417,
"EST","PISAMATH","TOT","MEANSCORE","A","2018",523,
"ISR","PISAMATH","TOT","MEANSCORE","A","2018",463,
"LVA","PISAMATH","TOT","MEANSCORE","A","2018",496,
"SVN","PISAMATH","TOT","MEANSCORE","A","2018",509,
"OAVG","PISAMATH","TOT","MEANSCORE","A","2018",489,
"COL","PISAMATH","TOT","MEANSCORE","A","2018",391,
"CRI","PISAMATH","TOT","MEANSCORE","A","2018",402,
"LTU","PISAMATH","TOT","MEANSCORE","A","2018",481,
